abaissant	abaissante
abdominal	abdominale
aberrant	aberrante
abject	abjecte
abondant	abondante
abortif	abortive
aboyant	aboyante
abracadabrant	abracadabrante
abrutissant	abrutissante
abscons	absconse
abstinent	abstinente
abstrus	abstruse
abusif	abusive
abyssal	abyssale
abâtardi	abâtardie
accablant	accablante
accaparant	accaparante
accidentel	accidentelle
accommodant	accommodante
accort	accorte
accrocheur	accrocheuse
accueillant	accueillante
achalandé	achalandée
acrimonieux	acrimonieuse
actuel	actuelle
acéré	acérée
adamantin	adamantine
additionnel	additionnelle
adipeux	adipeuse
adjacent	adjacente
admiratif	admirative
adoptif	adoptive
adorant	adorante
adragant	adragante
adroit	adroite
adultérin	adultérine
adéquat	adéquate
affectif	affective
affectueux	affectueuse
affligeant	affligeante
affolant	affolante
affriolant	affriolante
afférent	afférente
afro-brésilien	afro-brésilienne
agaçant	agaçante
aggravant	aggravante
agissant	agissante
agressif	agressive
aguichant	aguichante
ahanant	ahanante
ahurissant	ahurissante
aigre-doux	aigre-douce
aigrelet	aigrelette
aiguillonnant	aiguillonnante
aisé	aisée
alanguissant	alanguissante
alarmant	alarmante
albumineux	albumineuse
alcalin	alcaline
alençonnais	alençonnaise
algérois	algéroise
aliénant	aliénante
allaitant	allaitante
allusif	allusive
alléchant	alléchante
alpin	alpine
altier	altière
alvéolé	alvéolée
amaigrissant	amaigrissante
amalfitain	amalfitaine
amazonien	amazonienne
ambiant	ambiante
ambigu	ambiguë
ambivalent	ambivalente
amibien	amibienne
amitieux	amitieuse
ammoniacal	ammoniacale
ammoniaqué	ammoniaquée
amnistiant	amnistiante
amoral	amorale
ampoulé	ampoulée
amusant	amusante
anal	anale
ancestral	ancestrale
andin	andine
anglo-américain	anglo-américaine
anglo-français	anglo-française
anglo-normand	anglo-normande
anglo-égyptien	anglo-égyptienne
angoissant	angoissante
anguleux	anguleuse
annelé	annelée
annihilant	annihilante
annuel	annuelle
anoblissant	anoblissante
anodin	anodine
ansé	ansée
antiaméricain	antiaméricaine
antiaérien	antiaérienne
antichrétien	antichrétienne
anticipateur	anticipatrice
anticlérical	anticléricale
anticonceptionnel	anticonceptionnelle
anticonstitutionnel	anticonstitutionnelle
antifrançais	antifrançaise
antinational	antinationale
antinaturel	antinaturelle
antinazi	antinazie
antipersonnel	antipersonnelle
antireligieux	antireligieuse
antédiluvien	antédiluvienne
antérieur	antérieure
anéantissant	anéantissante
anémiant	anémiante
apaisant	apaisante
aphteux	aphteuse
appauvrissant	appauvrissante
approbateur	approbatrice
approximatif	approximative
appétissant	appétissante
aqueux	aqueuse
arachnéen	arachnéenne
aranéeux	aranéeuse
arbitral	arbitrale
arcadien	arcadienne
archi-sophistiqué	archi-sophistiquée
architectural	architecturale
archétypal	archétypale
ardoisé	ardoisée
ardu	ardue
argileux	argileuse
aristotélicien	aristotélicienne
armoricain	armoricaine
arrangeant	arrangeante
arthurien	arthurienne
artificiel	artificielle
artificieux	artificieuse
artisanal	artisanale
artériel	artérielle
ascensionnel	ascensionnelle
asexuel	asexuelle
asexué	asexuée
asphyxiant	asphyxiante
assidu	assidue
associatif	associative
assommant	assommante
assourdissant	assourdissante
astral	astrale
astreignant	astreignante
astucieux	astucieuse
atonal	atonale
attachant	attachante
attenant	attenante
attendrissant	attendrissante
attentif	attentive
atterrant	atterrante
attirant	attirante
attractif	attractive
attrayant	attrayante
attristant	attristante
atténuant	atténuante
audacieux	audacieuse
auditif	auditive
augural	augurale
austral	australe
auto-adhésif	auto-adhésive
auto-immun	auto-immune
autodestructeur	autodestructrice
autogéré	autogérée
automnal	automnale
automoteur	automotrice
autonettoyant	autonettoyante
autoporté	autoportée
autopropulsé	autopropulsée
autoroutier	autoroutière
avant-courrier	avant-courrière
avantageux	avantageuse
aventureux	aventureuse
aveuglant	aveuglante
aveulissant	aveulissante
avilissant	avilissante
aviné	avinée
avoisinant	avoisinante
axial	axiale
aéroporté	aéroportée
babélien	babélienne
bactérien	bactérienne
bafouillant	bafouillante
balbutiant	balbutiante
baleiné	baleinée
balinais	balinaise
ballonnant	ballonnante
banal	banale
bancal	bancale
bandant	bandante
baptismal	baptismale
barbant	barbante
basané	basanée
basculant	basculante
basquais	basquaise
bathyal	bathyale
beauceron	beauceronne
bedonnant	bedonnante
bellevillois	bellevilloise
belliqueux	belliqueuse
berrichon	berrichonne
bestial	bestiale
bicaméral	bicamérale
biculturel	biculturelle
bidonnant	bidonnante
bien-pensant	bien-pensante
bienfaisant	bienfaisante
bienséant	bienséante
bienveillant	bienveillante
bilatéral	bilatérale
bilieux	bilieuse
bilobé	bilobée
bimensuel	bimensuelle
binoclard	binoclarde
bioluminescent	bioluminescente
biomédical	biomédicale
biquotidien	biquotidienne
biscornu	biscornue
bisexuel	bisexuelle
bitumeux	bitumeuse
bitumineux	bitumineuse
bivalent	bivalente
blafard	blafarde
blanchissant	blanchissante
blessant	blessante
blet	blette
bleuissant	bleuissante
blêmissant	blêmissante
bondissant	bondissante
bonnard	bonnarde
boréal	boréale
boscot	boscotte
bossué	bossuée
bot	bote
bouffonnant	bouffonnante
bouillant	bouillante
bouillonnant	bouillonnante
bouleversant	bouleversante
bourbeux	bourbeuse
bourbonien	bourbonienne
bourdonnant	bourdonnante
bourgeonnant	bourgeonnante
bourgeonneux	bourgeonneuse
bourratif	bourrative
bourru	bourrue
boutonneux	boutonneuse
brabançon	brabançonne
brachial	brachiale
braillard	braillarde
braisillant	braisillante
branchial	branchiale
branchu	branchue
branlant	branlante
bredouillant	bredouillante
bressan	bressane
bringuebalant	bringuebalante
brioché	briochée
bronzant	bronzante
brouillardeux	brouillardeuse
broussailleux	broussailleuse
brouteur	brouteuse
bruissant	bruissante
brumeux	brumeuse
brusquet	brusquette
brutal	brutale
bruxellois	bruxelloise
bruyant	bruyante
brûlant	brûlante
buccal	buccale
bu	bue
buissonneux	buissonneuse
buissonnier	buissonnière
bulbeux	bulbeuse
butineur	butineuse
byzantin	byzantine
bâillant	bâillante
béant	béante
bégayant	bégayante
bénin	bénigne
bénit	bénite
cabochard	cabocharde
cadastral	cadastrale
cadavéreux	cadavéreuse
cafouilleux	cafouilleuse
cagneux	cagneuse
cahotant	cahotante
cahoteux	cahoteuse
caillouteux	caillouteuse
calamistré	calamistrée
calamiteux	calamiteuse
calculeux	calculeuse
calleux	calleuse
calomnieux	calomnieuse
calédonien	calédonienne
cambrien	cambrienne
canonial	canoniale
cantonal	cantonale
caoutchouteux	caoutchouteuse
capiteux	capiteuse
capricieux	capricieuse
caprin	caprine
captieux	captieuse
captivant	captivante
capétien	capétienne
caquetant	caquetante
carabiné	carabinée
caramélisé	caramélisée
carcéral	carcérale
caressant	caressante
caribéen	caribéenne
caricatural	caricaturale
caritatif	caritative
carné	carnée
carolin	caroline
carolingien	carolingienne
carotidien	carotidienne
carpien	carpienne
cartilagineux	cartilagineuse
cartonneux	cartonneuse
cassant	cassante
castrateur	castratrice
caséeux	caséeuse
catarrheux	catarrheuse
cauchemardeux	cauchemardeuse
caudal	caudale
causant	causante
cauteleux	cauteleuse
caverneux	caverneuse
cendreux	cendreuse
censé	censée
centrafricain	centrafricaine
centralisateur	centralisatrice
cervical	cervicale
cessant	cessante
chaleureux	chaleureuse
chamailleur	chamailleuse
chancelant	chancelante
chanceux	chanceuse
changeant	changeante
chantant	chantante
chantonnant	chantonnante
charançonné	charançonnée
charbonneux	charbonneuse
charmant	charmante
charnel	charnelle
charnu	charnue
chassieux	chassieuse
chatoyant	chatoyante
chauffant	chauffante
chavirant	chavirante
chenu	chenue
chevalin	chevaline
chevelu	chevelue
chevrotant	chevrotante
chiant	chiante
chicanier	chicanière
chichiteux	chichiteuse
chipoteur	chipoteuse
chirurgical	chirurgicale
chloré	chlorée
chocolaté	chocolatée
choquant	choquante
choucard	choucarde
chtarbé	chtarbée
chuchotant	chuchotante
chérifien	chérifienne
chétif	chétive
chômé	chômée
ci-inclus	ci-incluse
ci-joint	ci-jointe
cicatrisant	cicatrisante
cicéronien	cicéronienne
cinglant	cinglante
circonspect	circonspecte
circonstanciel	circonstancielle
cistercien	cistercienne
citérieur	citérieure
civilisateur	civilisatrice
claironnant	claironnante
clairvoyant	clairvoyante
clapotant	clapotante
claquant	claquante
classieux	classieuse
classificateur	classificatrice
claudicant	claudicante
claudélien	claudélienne
claustral	claustrale
cliquetant	cliquetante
clitoridien	clitoridienne
clément	clémente
clérical	cléricale
co-dépendant	co-dépendante
co-éducatif	co-éducative
cocardier	cocardière
codant	codante
coercitif	coercitive
cognitif	cognitive
cohérent	cohérente
cohésif	cohésive
coiffant	coiffante
coi	coite
collatéral	collatérale
colloïdal	colloïdale
colossal	colossale
coléreux	coléreuse
combatif	combative
comminutif	comminutive
commissural	commissurale
communicatif	communicative
commémoratif	commémorative
compatissant	compatissante
complaisant	complaisante
comportemental	comportementale
compromettant	compromettante
compréhensif	compréhensive
compulsif	compulsive
compétent	compétente
compétitif	compétitive
comtal	comtale
conceptuel	conceptuelle
conciliant	conciliante
concis	concise
concluant	concluante
conclusif	conclusive
concomitant	concomitante
concordant	concordante
concupiscent	concupiscente
concurrentiel	concurrentielle
condescendant	condescendante
confessionnel	confessionnelle
confiant	confiante
confidentiel	confidentielle
conflictuel	conflictuelle
confondant	confondante
confraternel	confraternelle
confucéen	confucéenne
confus	confuse
congestif	congestive
congru	congrue
congénital	congénitale
conjectural	conjecturale
conjugal	conjugale
consensuel	consensuelle
consentant	consentante
consistant	consistante
consolant	consolante
consomptif	consomptive
consternant	consternante
constitutionnel	constitutionnelle
constrictif	constrictive
constructif	constructive
consubstantiel	consubstantielle
consultatif	consultative
consécutif	consécutive
conséquent	conséquente
contigu	contiguë
continuel	continuelle
contondant	contondante
contraignant	contraignante
contrariant	contrariante
contre-productif	contre-productive
contrit	contrite
contus	contuse
convaincant	convaincante
conventionné	conventionnée
conventuel	conventuelle
convergent	convergente
convivial	conviviale
convulsif	convulsive
copernicien	copernicienne
copineur	copineuse
cornéen	cornéenne
cornélien	cornélienne
coronal	coronale
corporatif	corporative
corporel	corporelle
corpulent	corpulente
correct	correcte
corrodant	corrodante
corrosif	corrosive
corrélatif	corrélative
cortical	corticale
coruscant	coruscante
cossu	cossue
costal	costale
cotonneux	cotonneuse
coulissant	coulissante
coupant	coupante
couperosé	couperosée
courageux	courageuse
courbatu	courbatue
courbaturé	courbaturée
court-vêtu	court-vêtue
courtois	courtoise
couvrant	couvrante
covalent	covalente
coûteux	coûteuse
crachoteux	crachoteuse
craintif	craintive
craonnais	craonnaise
crapoteux	crapoteuse
crapuleux	crapuleuse
craquant	craquante
crasseux	crasseuse
crayeux	crayeuse
crevant	crevante
criant	criante
criard	criarde
crispant	crispante
crochu	crochue
croupissant	croupissante
